label,text
25,"Information: The rsyslog utility supports the ability to send logs it gathers to a remote log host running syslogd(8) or to receive messages from remote hosts, reducing administrative overhead. Verification procedure: Review the /etc/rsyslog.conf and /etc/rsyslog.d/*.conf files and verify that logs are sent to a central host: # grep """"^*.*[^I][^I]*@"""" /etc/rsyslog.conf /etc/rsyslog.d/*.conf *.* @@loghost.example.com Result: FAILED Actual Value: Non-compliant file(s): /etc/rsyslog.conf - regex '^\*\.\*[^I][^I]*\@\@' found - expect '^\*\.\*[^I][^I]*\@\@10\.([0-9]|[0-9][0-9]|[0-2][0-5][0-5])\.([0-9]|[0-9][0-9]|[0-2][0-5][0-5])\.([0-9]|[0-9][0-9]|[0-2][0-5][0-5])\:514' not found in the following lines: 97: *.* @@10.216.15.180:514 Policy Value: expect: ^\*\.\*[^I][^I]*\@\@10\.([0-9]|[0-9][0-9]|[0-2][0-5][0-5])\.([0-9]|[0-9][0-9]|[0-2][0-5][0-5])\.([0-9]|[0-9][0-9]|[0-2][0-5][0-5])\:514 file: /etc/rsyslog.conf /etc/rsyslog.d/*.conf min_occurrences: 1 regex: ^\*\.\*[^I][^I]*\@\@ required: NO system: Linux Solution: Edit the /etc/rsyslog.conf and /etc/rsyslog.d/*.conf files and"
26,"Information: The pam_pwquality.so module checks the strength of passwords. It performs checks such as making sure a password is not a dictionary word, it is a certain length, contains a mix of characters (e.g. alphabet, numeric, other) and more. The following are definitions of the pam_pwquality.so options. - try_first_pass - retrieve the password from a previous stacked PAM module. If not available, then prompt the user for a password. - retry = 3 - allow 3 tries before sending back a failure. - minlen = 15 - password must be 15 characters. Either of the following can be used to"
27,"Information: There are a number of accounts provided with most distributions that are used to manage applications and are not intended to provide an interactive shell. Verification procedure: Run the following commands and verify no results are returned: awk -F: '($1!=""""root"""" && $1!=""""sync"""" && $1!=""""shutdown"""" && $1!=""""halt"""" && $1!~/^+/ && $3<'""""$(awk '/^s*UID_MIN/{print $2}' /etc/login.defs)""""' && $7!=""""'""""$(which nologin)""""'"""" && $7!=""""/bin/false"""") {print}' /etc/passwd awk -F: '($1!=""""root"""" && $1!~/^+/ && $3<'""""$(awk '/^s*UID_MIN/{print $2}' /etc/login.defs)""""') {print $1}' /etc/passwd | xargs -I '{}' passwd -S '{}' | awk '($2!=""""L"""" && $2!=""""LK"""") {print $1}' Result: FAILED Actual Value: The command '/usr/bin/awk -F: '($1!=""""root"""" && $1!=""""svevmsvaunix01"""" &&"
28,Information: NOTE: Nessus has not identified that the chosen audit applies to the target device. Result: WARNING Actual Value: Policy Value: WARNING See Also: https://workbench.cisecurity.org/files/3148
29,Information: Unconfined processes run in unconfined domains Verification procedure: Run the following command and verify not output is produced: # ps -eZ | grep unconfined_service_t Result: FAILED Actual Value: The command returned : 31 supervisord 00 python3 25 awx-manage 11 awx-manage 17 uwsgi 08 daphne 58 awx-manage 55 awx-manage 48 awx-manage 43 awx-manage 48 awx-manage 49 awx-manage 08 awx-manage 00 rsyslogd 41 awx-manage 12 receptor 06 uwsgi 09 uwsgi 19 uwsgi 31 uwsgi 00 awx-manage <defunct> 00 awx-manage <defunct> 00 awx-manage <defunct> 00 awx-manage 00 awx-manage 00 awx-manage 00 awx-manage Policy Value: cmd: /******* dont_echo_cmd: YES expect: none system: Linux
30,"Information: Although the groupadd program will not let you create a duplicate Group ID (GID), it is possible for an administrator to manually edit the /etc/group file and change the GID field. Verification procedure: Run the following script and verify no results are returned: #!/bin/bash cut -d: -f3 /etc/group | sort | uniq -d | while read x ; do echo """"Duplicate GID ($x) in /etc/group"""" done Result: FAILED Actual Value: The following groups in the /etc/group file share the same GID: shadow postgres (sharing GID 26) Policy Value: name: group_duplicate_gid system: Linux Solution: Based on the results of the"
31,"Information: The operating system must be configured so that users must provide a password for privilege escalation. Verification procedure: Note: If passwords are not being used for authentication, this is not applicable. Verify the operating system requires users to supply a password for privilege escalation. Check the configuration of the /etc/sudoers and /etc/sudoers.d/* files with the following command: # grep -r """"^[^#].*NOPASSWD"""" /etc/sudoers* If any line is found refer to the remediation procedure below. Result: FAILED Actual Value: The command '/usr/bin/egrep -i '^[^#]*NOPASSWD' /etc/sudoers /etc/sudoers.d/* | /bin/awk '{print} END {if (NR == 0) print """"none""""}'' returned : /etc/sudoers:ADMINS ALL=(ALL) NOPASSWD:"
32,"Information: Systems need to have package manager repositories configured to ensure they receive the latest patches and updates. Verification procedure: Run the following command to verify repositories are configured correctly: # dnf repolist Result: WARNING Actual Value: The command '/usr/bin/dnf repolist' returned : Updating Subscription Management repositories. Unable to read consumer identity No repositories available Policy Value: cmd: /usr/bin/dnf repolist expect: Manual Review Required system: Linux Solution: Configure the package manager repositories. See Also: https://workbench.cisecurity.org/files/3746 Reference Information: 800-171|3.11.2,800-171|3.11.3,800-171|3.14.1,800-53|RA-5,800-53|SI-2,800-53|SI-2(2),800-53r5|RA-5,800-53r5|SI-2,800-53r5|SI-2(2),CN-L3|8.1.4.4(e),CN-L3|8.1.10.5(a),CN-L3|8.1.10.5(b),CN-L3|8.5.4.1(b),CN-L3|8.5.4.1(d),CN-L3|8.5.4.1(e),CSCv7|3.4,CSCv7|3.5,CSCv8|7.3,CSCv8|7.4,CSF|DE.CM-8,CSF|DE.DP-4,CSF|DE.DP-5,CSF|ID.RA-1,CSF|PR.IP-12,CSF|RS.CO-3,CSF|RS.MI-3,GDPR|32.1.b,GDPR|32.1.d,HIPAA|164.306(a)(1),ISO/IEC-27001|A.12.6.1,ITSG-33|RA-5,ITSG-33|SI-2,ITSG-33|SI-2(2),LEVEL|1M,NESA|M1.2.2,NESA|M5.4.1,NESA|T7.6.2,NESA|T7.7.1,NIAv2|PR9,PCI-DSSv3.2.1|6.1,PCI-DSSv3.2.1|6.2,PCI-DSSv4.0|6.3,PCI-DSSv4.0|6.3.1,PCI-DSSv4.0|6.3.3,QCSC-v1|3.2,QCSC-v1|5.2.1,QCSC-v1|5.2.2,QCSC-v1|5.2.3,QCSC-v1|8.2.1,QCSC-v1|10.2.1,QCSC-v1|11.2,SWIFT-CSCv1|2.2,SWIFT-CSCv1|2.7"
33,"Information: Periodically patches are released for included software either due to security flaws or to include additional functionality. Verification procedure: Run the following command and verify there are no updates or patches to install: # dnf check-update --security Result: FAILED Actual Value: The command '/usr/bin/dnf check-update && echo 'pass' || echo 'fail'' returned : Updating Subscription Management repositories. Unable to read consumer identity Error: There are no enabled repositories in """"/etc/yum.repos.d"""", """"/etc/yum/repos.d"""", """"/etc/distro.repos.d"""". fail Policy Value: cmd: /usr/bin/dnf check-update && echo 'pass' || echo 'fail' expect: ^pass$ system: Linux Solution: Use the package manager to update all packages on the"
34,Information: Unconfined processes run in unconfined domains Verification procedure: Run the following command and verify not output is produced: # ps -eZ | grep unconfined_service_t Result: FAILED Actual Value: The command returned : 09 receptor Policy Value: cmd: /******* dont_echo_cmd: YES expect: none system: Linux Solution: Investigate any unconfined processes found during the audit action. They may need to have an existing security context assigned to them or a policy built for them. Note: Occasionally certain daemons such as backup or centralized management software may require running unconfined. Any such software should be carefully analyzed and documented before such an
35,Information: Unconfined processes run in unconfined domains Verification procedure: Run the following command and verify not output is produced: # ps -eZ | grep unconfined_service_t Result: FAILED Actual Value: The command returned : 18 receptor Policy Value: cmd: /******* dont_echo_cmd: YES expect: none system: Linux Solution: Investigate any unconfined processes found during the audit action. They may need to have an existing security context assigned to them or a policy built for them. Note: Occasionally certain daemons such as backup or centralized management software may require running unconfined. Any such software should be carefully analyzed and documented before such an
36,"Information: Systems need to be registered with the Red Hat Subscription Manager (RHSM) to receive patch updates. This is usually configured during initial installation. Verification procedure: Verify the system is connected to the Red Hat Subscription Manager. If connected to RHSM, the systemID can be retrieved with the following command: # subscription-manager identity Result: WARNING Actual Value: The command '/usr/bin/subscription-manager identity' returned : Unable to verify server's identity: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed (_ssl.c:897) Policy Value: cmd: /usr/bin/subscription-manager identity expect: ManualReviewRequired system: Linux Solution: Run the following command to connect to the Red Hat Subscription Manager: # subscription-manager register See"
37,"Information: Systems need to have package manager repositories configured to ensure they receive the latest patches and updates. Verification procedure: Run the following command to verify repositories are configured correctly: # dnf repolist Result: WARNING Actual Value: The command '/usr/bin/dnf repolist' returned : Updating Subscription Management repositories. repo id repo name rhel-8-for-x86_64-appstream-rpms Red Hat Enterprise Linux 8 for x86_64 - AppStream (RPMs) rhel-8-for-x86_64-baseos-rpms Red Hat Enterprise Linux 8 for x86_64 - BaseOS (RPMs) Policy Value: cmd: /usr/bin/dnf repolist expect: Manual Review Required system: Linux Solution: Configure the package manager repositories. See Also: https://workbench.cisecurity.org/files/3746 Reference Information: 800-171|3.11.2,800-171|3.11.3,800-171|3.14.1,800-53|RA-5,800-53|SI-2,800-53|SI-2(2),800-53r5|RA-5,800-53r5|SI-2,800-53r5|SI-2(2),CN-L3|8.1.4.4(e),CN-L3|8.1.10.5(a),CN-L3|8.1.10.5(b),CN-L3|8.5.4.1(b),CN-L3|8.5.4.1(d),CN-L3|8.5.4.1(e),CSCv7|3.4,CSCv7|3.5,CSCv8|7.3,CSCv8|7.4,CSF|DE.CM-8,CSF|DE.DP-4,CSF|DE.DP-5,CSF|ID.RA-1,CSF|PR.IP-12,CSF|RS.CO-3,CSF|RS.MI-3,GDPR|32.1.b,GDPR|32.1.d,HIPAA|164.306(a)(1),ISO/IEC-27001|A.12.6.1,ITSG-33|RA-5,ITSG-33|SI-2,ITSG-33|SI-2(2),LEVEL|1M,NESA|M1.2.2,NESA|M5.4.1,NESA|T7.6.2,NESA|T7.7.1,NIAv2|PR9,PCI-DSSv3.2.1|6.1,PCI-DSSv3.2.1|6.2,PCI-DSSv4.0|6.3,PCI-DSSv4.0|6.3.1,PCI-DSSv4.0|6.3.3,QCSC-v1|3.2,QCSC-v1|5.2.1,QCSC-v1|5.2.2,QCSC-v1|5.2.3,QCSC-v1|8.2.1,QCSC-v1|10.2.1,QCSC-v1|11.2,SWIFT-CSCv1|2.2,SWIFT-CSCv1|2.7"
38,Information: Unconfined processes run in unconfined domains Verification procedure: Run the following command and verify not output is produced: # ps -eZ | grep unconfined_service_t Result: FAILED Actual Value: The command returned : 23 receptor 00 supervisord 00 python3 27 awx-manage 55 awx-manage 20 uwsgi 50 daphne 16 awx-manage 55 awx-manage 47 awx-manage 53 awx-manage 49 awx-manage 52 awx-manage 07 awx-manage 00 rsyslogd 54 awx-manage 04 uwsgi 07 uwsgi 15 uwsgi 38 uwsgi 00 awx-manage <defunct> 00 awx-manage 00 awx-manage 00 awx-manage 00 awx-manage Policy Value: cmd: /******* dont_echo_cmd: YES expect: none system: Linux Solution: Investigate any unconfined processes found
39,Information: Periodically patches are released for included software either due to security flaws or to include additional functionality. Verification procedure: Run the following command and verify there are no updates or patches to install: # dnf check-update --security Result: FAILED Actual Value: The command '/usr/bin/dnf check-update && echo 'pass' || echo 'fail'' returned : Updating Subscription Management repositories. Last metadata expiration check: 8:03:04 ago on Tue Jan 16 15:15:44 2024. containers-common.x86_64. 2:1-64.module+el8.8.0+19993+47c8ef84 rhel-8-for-x86_64-appstream-rpms fail Policy Value: cmd: /usr/bin/dnf check-update && echo 'pass' || echo 'fail' expect: ^pass$ system: Linux Solution: Use the package manager to update all packages on the
40,"Information: The /etc/shadow file is used to store the information about user accounts that is critical to the security of those accounts, such as the hashed password and other security information. Verification procedure: Run the following command and verify verify Uid is 0/root, Gid is 0/root or <gid>/shadow, and Access is 640 or more restrictive: # stat /etc/shadow Access: (0640/-rw-r-----) Uid: ( 0/ root) Gid: ( 0/ root) Result: FAILED Actual Value: The file /etc/shadow with fmode owner: root group: shadow mode: 0640 uid: 0 gid: 26 uneven permissions : FALSE does not match the policy value owner: root group:"
41,"Information: The /etc/gshadow file is used to store the information about groups that is critical to the security of those accounts, such as the hashed password and other security information. Verification procedure: Run the following command and verify Uid is 0/root, Gid is 0/root or <gid>/shadow, and Access is 640 or more restrictive: # stat /etc/gshadow Access: (0640/-rw-r-----) Uid: ( 0/ root) Gid: ( 0/ root) Result: FAILED Actual Value: The file /etc/gshadow with fmode owner: root group: shadow mode: 0600 uid: 0 gid: 26 uneven permissions : FALSE does not match the policy value owner: root group: root mask:"
42,"Information: The /etc/shadow- file is used to store backup information about user accounts that is critical to the security of those accounts, such as the hashed password and other security information. Verification procedure: Run the following command and verify verify Uid is 0/root, Gid is 0/root or <gid>/shadow, and Access is 640 or more restrictive: # stat /etc/shadow- Access: (0600/-rw-------) Uid: ( 0/ root) Gid: ( 0/ root) Result: FAILED Actual Value: The file /etc/shadow- with fmode owner: root group: shadow mode: 0640 uid: 0 gid: 26 uneven permissions : FALSE does not match the policy value owner: root group:"
43,"Information: The /etc/gshadow- file is used to store backup information about groups that is critical to the security of those accounts, such as the hashed password and other security information. Verification procedure: Run the following command and verify verify Uid is 0/root, Gid is 0/root or <gid>/shadow, and Access is 640 or more restrictive: # stat /etc/gshadow- Access: (0640/-rw-r-----) Uid: ( 0/ root) Gid: ( 0/ root) Result: FAILED Actual Value: The file /etc/gshadow- with fmode owner: root group: shadow mode: 0600 uid: 0 gid: 26 uneven permissions : FALSE does not match the policy value owner: root group: root"
